total_force,modeled_force,acceleration,residual
1779.0,48.449242738328195,-120151452.334363,1730.5507572616718
1779.0,48.44484343583299,-121031312.8334023,1730.555156564167
1766.0,48.44136512600466,-121726974.79906955,1717.5586348739953
1766.0,48.438805898708615,-122238820.2582784,1717.5611941012914
1766.0,48.43715557384252,-122568885.23149768,1717.5628444261574
1852.0,48.43639606699576,-122720786.60084866,1803.5636039330043
1852.0,48.43650190160448,-122699619.6791064,1803.5634980983955
1852.0,48.43744083637216,-122511832.7255696,1803.5625591636278
1851.0,48.439174585517975,-122165082.89640675,1802.560825414482
1851.0,48.44165961642667,-121668076.71466842,1802.5583403835733
1852.0,48.444848007046254,-121030398.590751,1803.5551519929538
1852.0,48.44868833728831,-120262332.54233934,1803.5513116627117
1852.0,48.4531265829958,-119374683.40084144,1803.5468734170042
1850.0,48.45810698297776,-118378603.4044493,1801.5418930170222
1826.0,48.46357285930197,-117285428.13960835,1777.536427140698
1826.0,48.46946738339331,-116106523.32133986,1777.5305326166067
1822.0,48.47573428708508,-114853142.58298464,1773.524265712915
1822.0,48.48231851486073,-113536297.02785613,1773.5176814851393
1822.0,48.489166807749086,-112166638.45018484,1773.5108331922509
1818.0,48.496228210232545,-110754357.95349257,1769.5037717897674
1818.0,48.50345449911544,-109309100.17691366,1769.4965455008846
1818.0,48.510800538740455,-107839892.25191064,1769.4891994612594
1804.0,48.51822456587453,-106355086.82509512,1755.4817754341254
1804.0,48.52568840573658,-104862318.8526854,1755.4743115942633
1885.0,48.53315762274896,-103368475.45021027,1836.466842377251
1877.0,48.54060161085862,-101879677.82827652,1828.4593983891414
1877.0,48.547993623801425,-100401275.23971722,1828.4520063761986
1877.0,48.55531074170596,-98937851.65880992,1828.4446892582941
1869.0,48.5625337765198,-97493244.69604155,1820.4374662234802
1869.0,48.569647132146756,-96070573.57065009,1820.4303528678533
1869.0,48.57663864283174,-94672271.43365332,1820.4233613571682
1809.0,48.583499408526265,-93300118.2947494,1760.4165005914738
1809.0,48.590223634472444,-91955273.1055133,1760.4097763655275
1801.0,48.59680847327277,-90638305.34544772,1752.4031915267271
1801.0,48.603253866142815,-89349226.7714385,1752.3967461338573
1801.0,48.6095623840632,-88087523.18736166,1752.390437615937
1801.0,48.61573907218935,-86852185.56213193,1752.3842609278106
1801.0,48.6217912985518,-85641740.28964154,1752.378208701448
1801.0,48.627728605797124,-84454278.84057723,1752.372271394203
1804.0,48.633562566773534,-83287486.64529435,1755.3664374332266
1804.0,48.639306646655385,-82138670.66892423,1755.3606933533447
1858.0,48.64497607165611,-81004785.66877916,1809.3550239283438
1869.0,48.6505877016245,-79882459.67510156,1820.3494122983755
1869.0,48.656159905286934,-78768018.94261502,1820.343840094713
1869.0,48.66171243742088,-77657512.51582615,1820.3382875625791
1872.0,48.667266310412884,-76546737.91742511,1823.332733689587
1872.0,48.67284364274104,-75431271.45179361,1823.327156357259
1872.0,48.67846746559322,-74306506.8813581,1823.3215325344067
1857.0,48.68416148155509,-73167703.68898474,1808.315838518445
1857.0,48.689949787708734,-72010042.45825484,1808.3100502122913
1846.0,48.69585658504518,-70828682.99096636,1797.3041434149548
1813.0,48.701905891281406,-69618821.74372114,1764.2980941087185
1813.0,48.70812126219578,-68375747.56084569,1764.2918787378042
1813.0,48.71452551847836,-67094896.30432986,1764.2854744815215
1811.0,48.7211404786599,-65771904.26802263,1762.27885952134
1811.0,48.72798671393491,-64402657.21301921,1762.272013286065
1811.0,48.7350833556368,-62983328.87264155,1762.2649166443632
1817.0,48.74244798521976,-61510402.95604989,1768.2575520147802
1839.0,48.75009661789664,-59980676.42067373,1790.2499033821034
1839.0,48.75804376784544,-58391246.43091299,1790.2419562321545
1852.0,48.76630256846604,-56739486.30679399,1803.233697431534
1852.0,48.7748849197892,-55023016.04216173,1803.2251150802108
1852.0,48.783801644501565,-53239671.09968886,1803.2161983554984
1891.0,48.79306264709479,-51387470.58104351,1842.2069373529052
1891.0,48.80267707689997,-49464584.620008245,1842.1973229231
