record_num,mode,Rope_S,Touch_S,cur_pos_abs,cur_vel,cur_acc
265,3,201,8,1959862758.0,-20.618275001761926,-32.60041409156912
266,3,216,8,1959848807.0,-24.85751375191424,-28.250471295867545
267,3,216,7,1959845330.0,-12.011856525821598,44.37739188372397
268,3,216,7,1959838387.0,-16.74297284654746,-11.409038181156653
269,3,223,7,1959824564.0,-21.505816320285223,-15.517256084620845
270,3,223,7,1959821127.0,-14.204180557690412,30.175662711197624
271,3,223,7,1959814268.0,-16.258113103136477,-4.868503809604189
272,3,223,7,1959807417.0,-16.74348951404265,-1.1862348338010764
273,3,231,7,1959800564.0,-16.287151695376245,1.0845532287986053
274,3,231,7,1959793722.0,-16.816541440375037,-1.301155303256614
275,3,231,7,1959783530.0,-23.357199414271665,-14.989349744588855
276,3,231,7,1959776773.0,-16.17170449529244,17.19723257098673
277,3,248,7,1959770034.0,-16.376254146002317,-0.49707034656491783
278,3,248,7,1959763340.0,-16.004486676167133,0.888847851450489
279,3,248,7,1959756674.0,-16.220473669432035,-0.5255642570046719
280,3,248,7,1959750035.0,-14.84090191120823,3.0839116046501847
281,3,258,7,1959743417.0,-16.079420652262062,-3.009166488835691
282,3,258,7,1959736822.0,-16.03654407791756,0.10425960187804278
283,3,258,7,1959730245.0,-15.705059725590663,0.7915434926855209
284,3,268,7,1959723684.0,-15.929857333719248,-0.5458000040313485
285,3,268,7,1959713901.0,-21.965031867673037,-13.550322085787974
286,3,268,7,1959707419.0,-15.827838695930605,14.98588453688768
287,3,268,7,1959700981.0,-15.45231997253219,0.9013102624462782
288,3,278,7,1959694566.0,-15.561862440717178,-0.2657341888248533
289,3,278,7,1959688190.0,-15.60261511318553,-0.09972526087788833
290,3,278,8,1959681863.0,-14.156279423877095,3.2360885346255888
291,3,278,8,1959672418.0,-12.605371459170014,10.96789834022866
292,3,299,8,1959663023.0,-11.332920252311414,36.27747490960817
293,3,299,8,1959656811.0,-21.926295083733066,-37.39109183617871
294,3,299,8,1959647571.0,-11.104271541911002,13.141083572362692
295,3,309,8,1959644511.0,-10.865704571622079,0.8471236012112368
296,3,309,8,1959635393.0,-21.473140860190902,-24.98080429808499
297,3,309,8,1959629374.0,-14.704983560111836,16.53524536134135
298,3,309,8,1959623390.0,-14.393941122899582,0.7481829090836197
299,3,319,8,1959617450.0,-14.347345672329398,0.11254562897110514
300,3,319,7,1959611528.0,-13.915999937251387,1.0136114863693444
301,3,319,7,1959605634.0,-13.655873488372094,0.6026898331990345
302,3,319,7,1959599783.0,-14.379979317942109,-1.7796320036264086
303,3,336,7,1959593952.0,-13.859005283617613,1.238240763905123
304,3,336,7,1959588166.0,-14.130804089903343,-0.6637980787233394
305,3,336,7,1959582404.0,-13.9753539860059,0.37703405573206694
306,3,343,7,1959573848.0,-19.247232514883347,-11.859405310369961
307,3,343,7,1959568205.0,-13.680398515692735,13.495748286307833
308,3,343,7,1959559820.0,-10.358372474949013,10.737920445949156
309,3,343,7,1959557045.0,-9.775905929783303,2.0519416766795886
310,3,349,7,1959548800.0,-19.45871960387126,-22.852050486429107
311,3,349,7,1959543350.0,-13.266181185073416,15.07363975400004
312,3,349,7,1959537924.0,-13.09905232186025,0.4034702771327446
313,3,349,7,1959532535.0,-12.95158391932157,0.3544162907641541
314,3,355,7,1959527201.0,-12.983818429574603,-0.0784640098034585
315,3,355,7,1959521935.0,-11.759146496299845,2.7347316128531385
316,3,355,7,1959516710.0,-12.739195721676452,-2.3894811289856452
317,3,364,7,1959511532.0,-12.365125319972671,0.8932845491617943
318,3,364,7,1959506402.0,-12.413765372411008,-0.11770101338621515
319,3,364,7,1959501335.0,-11.581764778201636,1.9017239347655297
320,3,364,7,1959493824.0,-17.99167181267847,-15.354139756901379
321,3,367,7,1959488878.0,-12.053354008482946,14.471622868751668
322,3,367,7,1959483990.0,-11.654023392451114,0.9520884493774328
323,3,367,7,1959479138.0,-11.726842807421919,-0.17599790451175998
324,3,367,7,1959474343.0,-10.70909887113951,2.273017818383948
325,3,369,7,1959469597.0,-11.468667848130437,-1.8354918467874364
326,3,369,7,1959464878.0,-11.574130504648851,-0.258664664104912
327,3,369,7,1959460218.0,-11.175218204688393,0.9566377675090605
328,3,369,7,1959455609.0,-11.254320973394655,-0.19315425231166647
329,3,372,7,1959448801.0,-15.321576236518753,-9.153460867705347
330,3,372,7,1959444343.0,-10.91611140872205,10.78747080920487
331,3,372,7,1959439925.0,-10.591846282937983,0.7774029803581708
332,3,373,7,1959433410.0,-8.084683776548278,8.921781791180136
333,3,373,7,1959431261.0,-7.3802991042331945,2.419064479349746
334,3,373,7,1959424918.0,-15.152335272810115,-18.566056720587113
335,3,373,7,1959420761.0,-10.12645006853293,12.243054022441987
336,3,374,7,1959416644.0,-9.829765792679456,0.7083645727496615
337,3,374,7,1959412565.0,-9.794232892145638,0.08531931923551368
338,3,374,7,1959408542.0,-9.134241862177232,1.4985129740489396
339,3,374,7,1959404570.0,-9.675228229281608,-1.317766004699083
340,3,374,7,1959400643.0,-9.55340862362972,0.2963566262189762
341,3,374,7,1959396788.0,-9.176527763904653,0.8971355831261542
342,3,374,7,1959392990.0,-9.277250359326771,-0.24603178898687983
343,3,374,7,1959387375.0,-12.650954533734422,-7.601171526393806
344,3,375,7,1959383699.0,-8.936050483366177,9.030622996450523
345,3,375,7,1959380087.0,-8.71681590794016,0.529077362858252
346,3,375,7,1959376527.0,-8.594291608150108,0.2957892026629544
